index,product_id,rating,labels,reviews,review_date
1,B0C1BPQSHS,4,Positive,"I would give these five stars, except I miss placed my manual and looking for a coffee coffee online is next to impossible! After hours of searching, I’m going to have to make an account with a manuals website just to get a copy of the guide with find out how to advance to the next #+%<*# song!",2023-09-05 18:52:46
2,B09HN4DHFL,4,Positive,"I loved these earbuds and they lasted me for years. The reason I'm giving it 4 stars instead of 5 is because although I ordered teal and the product arrived with a ""teal"" product label on the box, they were black instead.",2024-06-03 09:45:33
3,B0C7QR4QNP,5,Positive,"I really worried about the comfort of these as I have had a lot of issues with ear buds not fitting right, usually too big or way too small. I love these as I can find the perfect fit and they stay in my ears. The sound quality is really good and the battery life is excellent. I charged the base station once and haven't had to charge it since. I use them at work for 2-3 hours a night. I can only have one ear in at a time as I need to hear what is going on around me, and if I have both in then I would only hear the music. I tested. I have also used them for phone calls and they work great for that too. Love the touch feature and it works to pause the music too! I also think they are a really pretty color.",2023-08-16 14:51:45
4,B0CSXV3GK4,5,Positive,Listening to music sounds amazing with these headphones.,2024-02-16 20:04:03
5,B0CTD6PRBY,2,Negative,They wouldn’t stay in my ears.,2023-08-15 15:51:43
6,B09LD1T57H,1,Negative,"Not sure how this thing has so many high star reviews. They are always falling out of my ear and the annoying part is that they are weirdly sensitive to touch. If a song is playing and they fall out no matter where you touch the headphones the music stops. Now I have have an issue where when wearing these the volume lowers by itself then all you hear in the headphones is ""volume minimized"". These headphones suck",2023-12-17 20:01:30
7,B09HMCQF4S,5,Positive,"gg well played JLabs
10/10",2024-03-30 03:36:24
8,B0CHB9T8Q6,3,Neutral,"I only gave these a three star. But I got these so that I could listen to audiobooks on tape. For that I give them five stars. They were great but if someone phones me and wants to talk to me with my earbuds in, they really can’t understand me that well. They said my voice is muffled. So most people I think would like to use them as regular earbuds for talking. That’s why I gave them three stars. They’re not that good for talking. But five stars for listening to an audiobook.",2023-10-10 21:30:07
9,B09ZYCFDBL,4,Positive,"Really like the fit BUT the only part that you can touch to adjust the fit is the front surface - therefore, each time you touch one, you are also turning both on and off. It's impossible to insert the second one without also turning off the first. Once both are fitted properly, they are very comfortable and the battery life is good.",2023-12-01 05:44:41
10,B09ZYDRRK2,5,Positive,very nice head phones especially for the price! they have great sound too!,2023-12-23 16:59:26
11,B09ZYDRRK2,5,Positive,"Sound is good and stay charged for a good amount of time. If I can say one thing, they so tend to fall out every now and then.",2023-07-05 17:06:59
12,B0BYD8F9W7,4,Positive,Nice product. Good sound quality and noise cancellation feature. Decent range. But the buds keep falling out of my ears. Have now ordered bud holding lanyard. Lets see how it goes.,2023-12-02 06:29:28
13,B09ZYDRRK2,1,Negative,L okay but right cannot hear much if at all. Useless,2024-03-20 01:43:17
